------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      9  |      0.9585  |     0.9756  |   0.9311  |               |              3.9580  |
|          |   eval  |      0.9585  |     0.9756  |   0.9311  |       0.9389  |              4.1263  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.3936  |     0.7256  |   0.6163  |               |              0.5044  |
|          |      1  |      1.2627  |     0.8115  |   0.7268  |               |              0.9172  |
|          |      2  |      1.1865  |     0.8477  |   0.7801  |               |              1.3307  |
|          |      3  |      1.1699  |     0.8447  |   0.7975  |               |              1.7109  |
|          |      4  |      1.1309  |     0.8652  |   0.8633  |               |              2.0902  |
|          |      5  |      1.1074  |     0.8789  |   0.8555  |               |              2.4694  |
|          |      6  |      1.0371  |     0.9258  |   0.8945  |               |              2.8482  |
|          |      7  |      1.0107  |     0.9443  |   0.9045  |               |              3.2287  |
|          |      8  |      0.9688  |     0.9609  |   0.9267  |               |              3.6088  |
|          |      9  |      0.9438  |     0.9766  |   0.9313  |               |              3.9579  |
|          |   eval  |      0.9438  |     0.9766  |   0.9313  |       0.9402  |              4.1266  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4121  |     0.7207  |   0.5714  |               |              0.5050  |
|          |      1  |      1.2617  |     0.8135  |   0.7575  |               |              0.9189  |
|          |      2  |      1.1904  |     0.8467  |   0.7861  |               |              1.3322  |
|          |      3  |      1.1602  |     0.8623  |   0.8111  |               |              1.7120  |
|          |      4  |      1.1289  |     0.8750  |   0.8240  |               |              2.0938  |
|          |      5  |      1.1084  |     0.8809  |   0.8316  |               |              2.4751  |
|          |      6  |      1.0479  |     0.9209  |   0.8924  |               |              2.8557  |
|          |      7  |      1.0156  |     0.9316  |   0.8877  |               |              3.2350  |
|          |      8  |      0.9683  |     0.9580  |   0.9238  |               |              3.6158  |
|          |      9  |      0.9404  |     0.9756  |   0.9350  |               |              3.9651  |
|          |   eval  |      0.9404  |     0.9756  |   0.9350  |       0.9420  |              4.1343  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4551  |     0.6787  |   0.6477  |               |              0.5066  |
|          |      1  |      1.2617  |     0.8057  |   0.7859  |               |              0.9207  |
|          |      2  |      1.1826  |     0.8486  |   0.7464  |               |              1.3364  |
|          |      3  |      1.1650  |     0.8506  |   0.8172  |               |              1.7172  |
|          |      4  |      1.1309  |     0.8809  |   0.8411  |               |              2.0988  |
|          |      5  |      1.1045  |     0.8936  |   0.8538  |               |              2.4785  |
|          |      6  |      1.0420  |     0.9287  |   0.8925  |               |              2.8591  |
|          |      7  |      1.0146  |     0.9385  |   0.9091  |               |              3.2399  |
|          |      8  |      0.9829  |     0.9492  |   0.9180  |               |              3.6200  |
|          |      9  |      0.9507  |     0.9775  |   0.9351  |               |              3.9700  |
|          |   eval  |      0.9507  |     0.9775  |   0.9351  |       0.9417  |              4.1401  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4590  |     0.6904  |   0.5691  |               |              0.4162  |
|          |      1  |      1.2578  |     0.8037  |   0.7691  |               |              0.8299  |
|          |      2  |      1.2031  |     0.8418  |   0.8240  |               |              1.2478  |
|          |      3  |      1.1934  |     0.8379  |   0.8223  |               |              1.6289  |
|          |      4  |      1.1484  |     0.8506  |   0.8406  |               |              2.0099  |
|          |      5  |      1.0986  |     0.9023  |   0.8721  |               |              2.3904  |
|          |      6  |      1.0312  |     0.9287  |   0.8774  |               |              2.7724  |
|          |      7  |      1.0146  |     0.9346  |   0.8974  |               |              3.1531  |
|          |      8  |      0.9775  |     0.9629  |   0.9236  |               |              3.5336  |
|          |      9  |      0.9341  |     0.9854  |   0.9313  |               |              3.8836  |
|          |   eval  |      0.9341  |     0.9854  |   0.9313  |       0.9410  |              4.0535  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4092  |     0.7109  |   0.7170  |               |              0.5028  |
|          |      1  |      1.2803  |     0.7881  |   0.6503  |               |              0.9154  |
|          |      2  |      1.2051  |     0.8408  |   0.7824  |               |              1.3304  |
|          |      3  |      1.1562  |     0.8623  |   0.8205  |               |              1.7103  |
|          |      4  |      1.1152  |     0.8828  |   0.8688  |               |              2.0916  |
|          |      5  |      1.1172  |     0.8809  |   0.8558  |               |              2.4731  |
|          |      6  |      1.0508  |     0.9131  |   0.8789  |               |              2.8545  |
|          |      7  |      1.0264  |     0.9297  |   0.8979  |               |              3.2353  |
|          |      8  |      0.9678  |     0.9658  |   0.9236  |               |              3.6151  |
|          |      9  |      0.9482  |     0.9688  |   0.9334  |               |              3.9671  |
|          |   eval  |      0.9482  |     0.9688  |   0.9334  |       0.9397  |              4.1370  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4062  |     0.7285  |   0.6789  |               |              0.5051  |
|          |      1  |      1.2705  |     0.8115  |   0.7667  |               |              0.9188  |
|          |      2  |      1.2031  |     0.8408  |   0.8158  |               |              1.3372  |
|          |      3  |      1.1367  |     0.8691  |   0.7903  |               |              1.7197  |
|          |      4  |      1.1475  |     0.8682  |   0.8358  |               |              2.1002  |
|          |      5  |      1.1025  |     0.8926  |   0.8643  |               |              2.4806  |
|          |      6  |      1.0508  |     0.9141  |   0.8759  |               |              2.8627  |
|          |      7  |      1.0117  |     0.9346  |   0.8996  |               |              3.2451  |
|          |      8  |      0.9712  |     0.9629  |   0.9234  |               |              3.6253  |
|          |      9  |      0.9399  |     0.9824  |   0.9337  |               |              3.9762  |
|          |   eval  |      0.9399  |     0.9824  |   0.9337  |       0.9419  |              4.1451  |
------------------------------------------------------------------------------------------------------
